component_identifier,neuron_index,activation_mean,activation_variance,near_constant,total_non_dc_power,diagonal_power,diagonal_power_fraction,dominant_canonical_frequency_pair
N213,213,4.923275334792018,54.19404105126466,False,692003.7101835985,82493.3118022003,0.11920934900813415,1
N214,214,4.640636193309713,44.52593328781907,False,568551.6421521616,64131.309082165375,0.11279768507818662,3
N215,215,9.600985995265175,177.8150778931411,False,2270520.7296175184,259480.10285821528,0.11428219944150261,56
N216,216,0.7911220255358393,1.452643114659731,False,18548.799931090103,503.4942900148805,0.02714430539363149,5
N217,217,2.1907408755131215,8.929385797006779,False,114019.32724197954,6481.045504298541,0.05684163958048996,1
N218,218,5.918812310834055,78.27378355285047,False,999477.9421863478,117214.73414722364,0.11727595897796164,17
N219,219,0.7975142847318717,1.3945164367230423,False,17806.580380516523,512.4083892997372,0.028776349998138922,5
N220,220,3.181728126005923,20.23017838015646,False,258319.14773621786,18322.341928124188,0.07092908941784686,48
N221,221,5.28301648920447,48.23764787473751,False,615946.525712523,67787.50497116538,0.11005420461256638,17
N222,222,1.0044641730487938,1.643353506240675,False,20983.980921187176,339.1440432802232,0.016162044969160027,3
N223,223,6.90194444548489,86.3399845352003,False,1102475.2625299725,116733.33342948607,0.10588295030004131,17
N224,224,5.394109139435198,63.097022172765584,False,805685.8761240436,94930.04046728981,0.11782512674043,17
N225,225,1.8617390234087552,6.164587239257994,False,78715.61445808533,3967.5885663434638,0.050404085563686155,3
N226,226,5.2104957690773865,52.373304823644446,False,668754.7292931157,69389.9216934774,0.10375989679627932,56
N227,227,1.5676986166591185,5.627109849075045,False,71852.56566283926,3516.454312203705,0.04893985732818927,1
N228,228,5.353076135889331,56.41567738857364,False,720371.7845746967,83209.8930343082,0.11550965045561139,56
N229,229,3.2156400704107866,19.541241014892,False,249522.10651915596,20521.485175863236,0.0822431545731111,3
N230,230,2.5012103016327796,12.07848165580339,False,154230.1322629535,3383.6300984490126,0.021938839374656814,56
N231,231,1.6076573318194303,4.85037442395515,False,61934.43101948331,1430.0484922709666,0.023089717120693375,17
N232,232,2.501036085221201,13.155971562809366,False,167988.6008855128,8490.480937649176,0.05054200637956136,17
N233,233,6.62667817789943,85.20940793938948,False,1088038.929978064,116817.056888879,0.10736477682028726,56
N234,234,1.678490428862905,5.419065418894221,False,69196.04633386033,4959.134405937948,0.0716678866594615,1
N235,235,1.804674059525093,5.636191626272605,False,71968.53087587489,2345.4430565140888,0.03258984208749942,20
N236,236,4.435165474315992,37.56140814962879,False,479621.6206626098,51764.418962298674,0.10792761779751459,3
N237,237,7.322968018774773,92.15924812016198,False,1176781.4392463476,147327.15622498293,0.12519500334687164,56
N238,238,4.160142319493476,31.690475074902547,False,404655.67623143055,48946.66562456618,0.12095880151838675,56
N239,239,6.163519595208225,69.67286005572174,False,889652.7500515108,93166.40583347993,0.1047222141763577,56
N240,240,1.4438790811593745,3.480619924023608,False,44444.03580985744,1251.776539076891,0.02816523108820045,5
N241,241,2.0186111360700605,8.483423733086818,False,108324.83764778558,7274.388896371578,0.06715347148752716,1
N242,242,2.2356218196907442,9.569750570393476,False,122196.14503335432,12203.33267537713,0.09986675661532647,1
N243,243,1.0182460072811288,1.9784787666600068,False,25263.19537148162,585.5124238549852,0.023176499062978445,20
N244,244,3.8381383794567676,26.982765443439835,False,344542.93194728333,31225.134842970743,0.09062770397434342,56
